date,number_of_tests,number_of_positives,percent_positive
03/23/2020 15:00:00,955,77,
03/24/2020 15:00:00,1120,84,
03/25/2020 15:00:00,3341,402,
03/26/2020 15:00:00,1820,206,
03/27/2020 15:00:00,3075,348,10.05
03/28/2020 15:00:00,1308,177,11.14
03/29/2020 15:00:00,1585,243,12.71
03/30/2020 15:00:00,2054,324,13.45
03/31/2020 15:00:00,2945,495,14.55
04/01/2020 15:00:00,2536,450,15.84
04/02/2020 15:00:00,3036,558,16.81
04/03/2020 15:00:00,2629,461,17.25
04/04/2020 15:00:00,3401,619,17.73
04/05/2020 15:00:00,2633,626,19.13
04/06/2020 15:00:00,1404,306,19.94
04/07/2020 15:00:00,7936,1600,20.29
04/08/2020 15:00:00,3155,684,21.12
04/09/2020 15:00:00,3924,935,22.25
04/10/2020 15:00:00,3632,874,22.31
04/11/2020 15:00:00,2175,535,22.87
04/12/2020 15:00:00,3804,967,23.92
04/13/2020 15:00:00,1583,428,24.99
04/14/2020 15:00:00,2406,708,26.11
04/15/2020 15:00:00,3578,1059,27.22
04/16/2020 15:00:00,3439,909,27.58
04/17/2020 15:00:00,3776,980,27.69
04/18/2020 15:00:00,2739,614,26.77
04/19/2020 15:00:00,3952,1080,26.35
04/20/2020 15:00:00,2188,544,25.40
04/21/2020 15:00:00,3298,761,24.73
04/22/2020 15:00:00,3906,1107,25.20
04/23/2020 15:00:00,4870,1106,25.26
04/24/2020 15:00:00,4486,1126,24.82
04/25/2020 15:00:00,4288,957,24.31
04/26/2020 15:00:00,4033,1054,24.92
04/27/2020 15:00:00,2827,655,23.89
04/28/2020 15:00:00,3055,782,24.46
04/29/2020 15:00:00,5433,1357,24.44
04/30/2020 15:00:00,5278,1279,24.82
05/01/2020 15:00:00,5128,1166,24.14
05/02/2020 15:00:00,4636,1073,24.14
05/03/2020 15:00:00,5617,1129,23.04
05/04/2020 15:00:00,3143,699,22.49
05/05/2020 15:00:00,4537,1166,22.78
05/06/2020 15:00:00,6357,1396,22.63
05/07/2020 15:00:00,5048,1182,22.68
05/08/2020 15:00:00,6049,1324,23.04
05/09/2020 15:00:00,7340,1372,22.33
05/10/2020 15:00:00,7930,995,19.70
05/11/2020 15:00:00,3754,808,19.61
05/12/2020 15:00:00,5425,794,17.86
05/13/2020 15:00:00,6028,1054,16.98
05/14/2020 15:00:00,7267,1304,16.83
05/15/2020 15:00:00,7598,1175,17.41
05/16/2020 15:00:00,6335,942,16.08
05/17/2020 15:00:00,6706,876,15.77
05/18/2020 15:00:00,5757,855,15.24
05/19/2020 15:00:00,7535,910,14.07
05/20/2020 15:00:00,9592,1432,13.96
05/21/2020 15:00:00,6462,890,13.74
05/22/2020 15:00:00,8715,1191,13.86
05/23/2020 15:00:00,6731,959,13.74
05/24/2020 15:00:00,10831,973,13.12
